n1,n2
el Camp de l'Arpa del Clot,el Clot
el Clot,Sant Marti de Provençals
el Clot,Provençals del Poblenou
el Clot,el Parc i la Llacuna del Poblenou
el Parc i la Llacuna del Poblenou,Provençals del Poblenou
el Parc i la Llacuna del Poblenou,el Poblenou
el Parc i la Llacuna del Poblenou,la Vila Olimpica del Poblenou
Sant Marti de Provençals,la Verneda i la Pau
Sant Marti de Provençals,Provençals del Poblenou
la Verneda i la Pau,Provençals del Poblenou
la Verneda i la Pau,el Besos i el Maresme
Provençals del Poblenou,el Poblenou
Provençals del Poblenou,Diagonal Mar i el Front Maritim del Poblenou
Provençals del Poblenou,el Besos i el Maresme
el Besos i el Maresme,Diagonal Mar i el Front Maritim del Poblenou
Diagonal Mar i el Front Maritim del Poblenou, el Poblenou
el Poblenou,la Vila Olimpica del Poblenou
la Barceloneta,Sant Pere
la Barceloneta,la Vila Olimpica del Poblenou
Sant Pere,la Vila Olimpica del Poblenou
Sant Pere,el Parc i la Llacuna del Poblenou
Sant Pere,el Fort Pienc
el Fort Pienc,el Parc i la Llacuna del Poblenou
el Fort Pienc,la Sagrada Familia
la Sagrada Familia,el Clot
la Sagrada Familia,el Camp de l'Arpa del Clot
el Guinardo,el Camp de l'Arpa del Clot
el Guinardo,Navas
Navas,el Camp de l'Arpa del Clot
Navas,el Clot
Navas,la Sagrera
la Sagrera,Sant Marti de Provençals
la Sagrera,la Verneda i la Pau
el Bon Pastor,la Verneda i la Pau